pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
Kepler-778 b,Kepler-778,1.68,1.6114359150967734,0.0,977.0,0.0453,5102.0,0.81,5.25,0.40758231002568057
Kepler-779 b,Kepler-779,0.92,1.8066480817218056,0.0,425.0,0.0533,3804.0,0.4600000000000001,3.89,0.5197370862921591
Kepler-78 b,Kepler-78,1.201,1.8453002361560848,0.0,2223.0,0.00901,5058.0,0.779,0.625,0.3863603028996453
Kepler-780 b,Kepler-780,0.89,1.790091412127358,0.0,2099.0,0.015,5769.0,1.01,4.9,0.39387436126123854
Kepler-781 b,Kepler-781,2.89,1.091923300517313,0.0,629.0,0.1019,5162.0,0.81,4.9,0.3592800642572028
Kepler-782 b,Kepler-782,3.21,1.0043016091968684,0.0,350.0,0.54494,5867.0,0.98,5.25,0.46361157740755715
Kepler-783 b,Kepler-783,0.78,1.7263316639055994,0.0,991.0,0.04958,5521.0,0.9300000000000002,3.89,0.4072339722806023
Kepler-783 c,Kepler-783,2.33153725,1.2864740258376797,0.0,840.0,0.06903,5411.49,0.94,9.7,0.3400867693400561
Kepler-784 b,Kepler-784,1.58,1.6770965609079151,0.0,688.0,0.2211099999999999,5674.0,1.0,9.12,0.45951849386639143
Kepler-784 c,Kepler-784,1.55,1.6974487897568138,0.0,844.0,0.1309,5676.0,1.016,2.88,0.43965202876565995
Kepler-785 b,Kepler-785,13.02,1.269760544863939,0.0,753.0,0.025,4739.0,0.77,2.82,0.2762484580352161
Kepler-786 b,Kepler-786,2.43,1.247032293786383,0.0,348.0,0.25483,4838.0,0.81,2.51,0.5089426899551512
Kepler-787 b,Kepler-787,1.28,1.9035989509835904,0.0,1115.0,0.0159,4248.0,0.65,3.39,0.4230566274961843
Kepler-788 b,Kepler-788,2.55,1.2029723039923526,0.0,984.0,0.0835,6159.0,1.16,3.02,0.3063389389630583
Kepler-789 b,Kepler-789,2.12,1.3762440252663892,0.0,1419.0,0.0951,5870.0,1.01,3.72,0.32806212562025117
Kepler-79 b,Kepler-79,3.47,0.8878912573524571,0.015,929.0,0.117,6174.0,1.165,3.44,0.27623103757586714
Kepler-79 c,Kepler-79,3.72,0.4824261492442927,0.03,734.0,0.187,6174.0,1.165,3.44,0.2945190105603432
Kepler-79 d,Kepler-79,7.16,0.0861776962410523,0.025,592.0,0.287,6174.0,1.165,3.44,0.32041249454662973
Kepler-79 e,Kepler-79,3.49,0.4252677354043441,0.012,511.0,0.386,6174.0,1.165,3.44,0.35892932975316133
Kepler-790 b,Kepler-790,2.18,1.3506671834767394,0.0,634.0,0.101,5208.0,0.8400000000000001,4.9,0.4132188176701957
Kepler-791 b,Kepler-791,3.05,1.0473189942805592,0.0,939.0,0.1256,6383.0,1.3,2.24,0.2866141968987861
Kepler-792 b,Kepler-792,1.96,1.4539530095937054,0.0,852.0,0.0988,5971.0,1.09,3.39,0.3880463201127443
Kepler-793 b,Kepler-793,1.37,1.8309801823813363,0.0,1177.0,0.0491,5745.0,0.98,4.27,0.4251871310504403
Kepler-794 b,Kepler-794,2.11,1.3812818192963463,0.0,952.0,0.10036,5839.0,1.19,4.07,0.3552716030126218
Kepler-795 b,Kepler-795,1.68,1.6114359150967734,0.0,580.0,0.1803,5631.0,0.94,6.46,0.4887202608870134
Kepler-796 b,Kepler-796,1.3,1.88706964903238,0.0,1109.0,0.07317,5475.0,0.9300000000000002,11.75,0.40961498406364977
Kepler-797 b,Kepler-797,2.17,1.355835153635182,0.0,605.0,0.181,5680.0,0.96,3.89,0.41248967895250865
Kepler-798 b,Kepler-798,2.39,1.264126727145683,0.0,864.0,0.1174,6224.0,1.19,2.82,0.3380477143922978
Kepler-799 b,Kepler-799,6.88,0.494696241836107,0.0,433.0,0.5167,5681.0,0.95,3.98,0.45270979764558295
Kepler-799 c,Kepler-799,2.78068551,1.1249295969854831,0.0,893.0,0.1214,5588.0,1.031,0.5,0.27967477674311064
Kepler-8 b,Kepler-8,15.871944,0.2390169004704999,0.0,1680.0,0.0474,6213.0,1.213,3.47,0.216448497901594
Kepler-80 b,Kepler-80,2.67,0.8671004876833832,0.0049,547.0,0.0648,4540.0,0.73,2.0,0.3629957026297568
Kepler-80 c,Kepler-80,2.74,0.7975071958841881,0.0079,495.0,0.0792,4540.0,0.73,2.0,0.37068821208601743
Kepler-80 d,Kepler-80,1.53,2.084429083190875,0.0041,722.0,0.0372,4540.0,0.73,2.0,0.47704734123096426
Kepler-80 e,Kepler-80,1.6,1.55814461804655,0.0035,629.0,0.0491,4540.0,0.73,2.0,0.4626703593449275
