pl_name,hostname,pl_rade,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_lum,st_mass,st_age,pl_bmasse,pl_dens,pl_insol,pl_orbper,st_rad
TOI-1011 b,TOI-1011,1.45,0.0,1364.0,0.102,5475.0,-0.1549,0.91,6.284999999999999,1.617406082083277,2.1138429683971682,6.357143582277135,1.2442980995114976,0.6523251860396903
TOI-1052 b,TOI-1052,2.87,0.18,1135.0,0.09103,6146.0,0.38373,1.204,2.3,2.884800712846709,1.5953389880545987,5.5093883366279774,2.31645870779325,0.8171331603409365
TOI-1052 c,TOI-1052,6.48,0.237,719.0,0.2263,6146.0,0.38373,1.204,2.3,3.563882963939251,0.5265021031509982,3.7062280924485496,3.605660875363003,0.8171331603409365
TOI-1054.01,TOI-1054,2.43432,0.0,853.0,0.102,6122.0,0.23193,1.14,3.339,2.0149030205422647,1.247032293786383,4.489442786064102,2.8038321181058925,0.7747271675523681
TOI-1062 b,TOI-1062,2.265,0.177,1077.0,0.052,5328.0,-0.27446,0.94,2.5,2.4114394979061275,1.766441661243765,5.4510384535657,1.6317784928714854,0.6097655716208943
TOI-1062 c,TOI-1062,3.1,0.14,859.0,0.08,5328.0,-0.27446,0.94,2.5,2.377692565480851,1.0296194171811583,4.564348191467836,2.194108616657962,0.6097655716208943
TOI-1064 b,TOI-1064,2.587,0.047,784.0,0.0615199999999999,4734.0,-0.62342,0.748,9.4,2.6741486494265287,1.6678237948483927,4.157319361383489,2.007390606220849,0.5458065926612362
TOI-1064 c,TOI-1064,2.651,0.088,634.0,0.09429,4734.0,-0.62342,0.748,9.4,1.252762968495368,0.5720558033717627,3.3250360206965914,2.582227987675633,0.5458065926612362
TOI-1075 b,TOI-1075,1.791,0.0,1323.0,0.01159,3875.0,-1.14436,0.604,6.0,2.3933394562625097,2.334083760053417,6.234802805707711,0.47295726297190843,0.45805755822733496
TOI-1107 b,TOI-1107,14.57167491,0.025,1728.0,0.0561,6311.0,0.67117,1.35,2.6,6.971410751081019,1.0612565021243408,6.278521424165844,1.624964488873256,1.0331844833456545
TOI-1117 b,TOI-1117,2.46,0.0,1538.0,0.033,5635.0,-0.4437,0.97,4.42,2.2925347571405443,1.4586150226995167,6.834108738813838,1.1719123154742537,0.7178397931503169
TOI-1117 c,TOI-1117,2.91,0.0,1210.0,0.0534,5635.0,-0.4437,0.97,4.42,2.280339484046726,1.085189268335969,5.87493073085203,1.719009548863391,0.7178397931503169
TOI-1117 d,TOI-1117,3.27,0.0,978.0,0.0817,5635.0,-0.4437,0.97,4.42,2.4604431776096263,0.9858167945227653,5.030437921392435,2.268511112660294,0.7178397931503169
TOI-1130 b,TOI-1130,3.66,0.052162,825.0,0.0453,4360.0,-0.85387,0.745,5.4,3.0349529867072724,1.172482137234565,4.370712874773608,1.6242386392926227,0.5288619862520892
TOI-1130 c,TOI-1130,13.0,0.0398,650.0,0.0731,4360.0,-0.85387,0.745,5.4,5.820082930352362,0.6026982656373852,3.4339872044851463,2.235396642559805,0.5288619862520892
TOI-1135 b,TOI-1135,9.34085,0.0,1074.28,0.082337403,5962.7,0.23096,1.1560389999999998,0.562,3.95928819789526,0.3435897043900769,5.544763296232015,2.200300763243224,0.7654678421395714
TOI-1136 b,TOI-1136,1.9,0.027,1216.0,0.05106,5770.0,-0.02687,1.022,0.7,1.5040773967762742,1.33500106673234,5.9985982716713995,1.6433947959122825,0.6770177986300616
TOI-1136 c,TOI-1136,2.879,0.11,1062.0,0.0669,5770.0,-0.02687,1.022,0.7,1.9906103279732201,0.8960880245566356,5.452719443343858,1.9820216379722526,0.6770177986300616
